Geneset.Name,Number.of.Genes,meta.p,bootstrap.p,BRCA,COAD,HNSC,KIRC,KIRP,LIHC,LUAD,LUSC,PRAD,STAD,THCA
p75(NTR)-mediated signaling,74,0.008,0.018,0.001996,0.001996,0.085828,0.001996,0.137725,0.417166,0.001996,0.021956,0.02994,0.00998,0.211577
PAR1-mediated thrombin signaling events,43,0.009,0.0189,0.001996,0.001996,0.113772,0.017964,0.003992,0.690619,0.003992,0.001996,0.03992,0.007984,0.211577
PAR4-mediated thrombin signaling events,15,0.1034,0.117,0.021956,0.07984,0.720559,0.353293,0.053892,0.888224,0.363273,0.031936,0.127745,0.37525,0.143713
Parkinson disease,89,0.0103,0.0282,0.001996,0.003992,0.44511,0.001996,0.381238,0.912176,0.003992,0.001996,0.43513,0.0499,0.429142
PDGF signaling pathway,125,0.0041,0.0124,0.001996,0.001996,0.013972,0.001996,0.185629,0.035928,0.001996,0.001996,0.131737,0.063872,0.117764
PDGFR-alpha signaling pathway,22,0.0248,0.0387,0.001996,0.015968,0.147705,0.035928,0.071856,0.141717,0.413174,0.001996,0.013972,0.043912,0.562874
PDGFR-beta signaling pathway,125,0.0071,0.0182,0.001996,0.001996,0.001996,0.107784,0.145709,0.091816,0.01996,0.001996,0.067864,0.183633,0.471058
Pentose phosphate cycle,23,0.0244,0.0422,0.021956,0.01996,0.017964,0.001996,0.001996,0.273453,0.001996,0.115768,0.165669,0.748503,0.283433
Phenylalanine degradation,13,0.0193,0.044,0.001996,0.297405,0.798403,0.001996,0.007984,0.017964,0.001996,0.001996,0.031936,0.185629,0.453094
PI3 kinase pathway,43,0.0262,0.0383,0.005988,0.003992,0.10978,0.92016,0.007984,0.101796,0.121756,0.157685,0.027944,0.041916,0.057884
Plasma membrane estrogen receptor signaling,42,0.0387,0.0577,0.001996,0.001996,0.249501,0.257485,0.075848,0.353293,0.133733,0.209581,0.01996,0.217565,0.071856
Plasminogen activating cascade,16,0.0539,0.0824,0.001996,0.05988,0.031936,0.001996,0.001996,0.131737,0.095808,0.143713,0.518962,0.840319,0.473054
Plexin-D1 Signaling,24,0.0178,0.0361,0.001996,0.071856,0.115768,0.005988,0.752495,0.379242,0.043912,0.001996,0.00998,0.003992,0.135729
PLK1 signaling events,48,4.00E-04,0.0051,0.003992,0.001996,0.001996,0.087824,0.001996,0.005988,0.001996,0.001996,0.0499,0.031936,0.55489
PNAT,51,0.0041,0.0115,0.001996,0.001996,0.147705,0.001996,0.001996,0.011976,0.001996,0.003992,0.023952,0.003992,0.067864
Posttranslational regulation of adherens junction stability and dissassembly,50,0.0084,0.0199,0.001996,0.001996,0.001996,0.001996,0.013972,0.54491,0.001996,0.001996,0.05988,0.596806,0.327345
Presenilin action in Notch and Wnt signaling,46,0.0347,0.0454,0.025948,0.00998,0.007984,0.003992,0.005988,0.377246,0.431138,0.105788,0.211577,0.005988,0.339321
Propanoate metabolism,22,9.00E-04,0.008,0.001996,0.001996,0.001996,0.001996,0.011976,0.021956,0.085828,0.003992,0.107784,0.243513,0.001996
Prostaglandin and Leukotriene metabolism,22,0.1243,0.1453,0.441118,0.093812,0.221557,0.107784,0.051896,0.818363,0.277445,0.001996,0.01996,0.421158,0.447106
Purine nucleotides and Nucleosides metabolism,104,6.00E-04,0.0063,0.001996,0.001996,0.031936,0.001996,0.001996,0.40519,0.001996,0.001996,0.05988,0.017964,0.003992
Pyrimidine Nucleotides and Nucleosides metabolism,48,0.0015,0.0107,0.001996,0.001996,0.652695,0.001996,0.001996,0.289421,0.001996,0.001996,0.007984,0.07984,0.135729
Pyruvate metabolism,33,7.00E-04,0.0058,0.00998,0.001996,0.001996,0.001996,0.00998,0.017964,0.001996,0.001996,0.021956,0.377246,0.001996
RAC1 signaling pathway,54,0.0114,0.022,0.001996,0.007984,0.001996,0.005988,0.055888,0.46507,0.005988,0.001996,0.40519,0.05988,0.171657
Ras Pathway,70,0.0249,0.0363,0.027944,0.001996,0.011976,0.041916,0.047904,0.301397,0.161677,0.001996,0.045908,0.357285,0.47505
Ras signaling in the CD4+ TCR pathway,14,0.0447,0.0688,0.001996,0.00998,0.127745,0.001996,0.143713,0.07984,0.175649,0.001996,0.696607,0.734531,0.562874
Reelin signaling pathway,28,0.0223,0.0341,0.013972,0.033932,0.572854,0.067864,0.417166,0.133733,0.001996,0.001996,0.001996,0.021956,0.291417
Regulation of Androgen receptor activity,54,0.0108,0.0192,0.011976,0.001996,0.091816,0.001996,0.027944,0.766467,0.037924,0.001996,0.011976,0.005988,0.131737
Regulation of CDC42 activity,31,0.0043,0.0131,0.001996,0.003992,0.067864,0.001996,0.047904,0.023952,0.001996,0.001996,0.137725,0.131737,0.137725
Regulation of cytoplasmic and nuclear SMAD2;3 signaling,20,0.0391,0.061,0.043912,0.001996,0.536926,0.622754,0.658683,0.582834,0.023952,0.001996,0.439122,0.117764,0.001996
Regulation of nuclear beta catenin signaling and target gene transcription,80,0.0025,0.0091,0.001996,0.001996,0.001996,0.001996,0.077844,0.101796,0.001996,0.001996,0.031936,0.223553,0.003992
Regulation of nuclear SMAD2;3 signaling,82,0.0039,0.0128,0.001996,0.001996,0.043912,0.001996,0.165669,0.313373,0.001996,0.001996,0.289421,0.005988,0.027944
Regulation of p38-alpha and p38-beta,31,0.0373,0.052,0.001996,0.003992,0.03992,0.073852,0.081836,0.115768,0.077844,0.013972,0.692615,0.904192,0.251497
Regulation of RAC1 activity,39,0.0037,0.0143,0.001996,0.169661,0.001996,0.001996,0.185629,0.083832,0.001996,0.001996,0.179641,0.111776,0.0998
Regulation of Ras family activation,34,0.0035,0.0109,0.023952,0.001996,0.207585,0.001996,0.015968,0.003992,0.001996,0.001996,0.06986,0.011976,0.003992
Regulation of retinoblastoma protein,67,0.0063,0.0156,0.001996,0.001996,0.037924,0.001996,0.139721,0.634731,0.001996,0.003992,0.00998,0.031936,0.091816
Regulation of RhoA activity,48,0.0107,0.023,0.001996,0.005988,0.173653,0.001996,0.017964,0.143713,0.001996,0.001996,0.343313,0.055888,0.393214
Regulation of Telomerase,70,0.0125,0.0251,0.001996,0.021956,0.053892,0.03992,0.39521,0.39521,0.001996,0.001996,0.383234,0.017964,0.091816
Retinoic acid receptors-mediated signaling,30,0.0206,0.0331,0.011976,0.001996,0.103792,0.007984,0.005988,0.808383,0.606786,0.001996,0.205589,0.137725,0.127745
RhoA signaling pathway,46,0.0142,0.0274,0.003992,0.001996,0.041916,0.001996,0.001996,0.884232,0.678643,0.01996,0.105788,0.00998,0.301397
Role of Calcineurin-dependent NFAT signaling in lymphocytes,54,0.0067,0.015,0.001996,0.003992,0.031936,0.001996,0.027944,0.031936,0.013972,0.001996,0.021956,0.139721,0.271457
RXR and RAR heterodimerization with other nuclear receptor,26,0.0121,0.0237,0.01996,0.005988,0.005988,0.001996,0.015968,0.205589,0.235529,0.007984,0.331337,0.035928,0.041916
S1P1 pathway,20,0.0141,0.0218,0.001996,0.015968,0.229541,0.011976,0.001996,0.115768,0.003992,0.021956,0.03992,0.187625,0.033932
S1P2 pathway,26,0.0199,0.0327,0.001996,0.007984,0.02994,0.077844,0.03992,0.237525,0.011976,0.001996,0.245509,0.159681,0.860279
S1P3 pathway,25,0.0253,0.0346,0.031936,0.001996,0.065868,0.153693,0.001996,0.187625,0.025948,0.093812,0.335329,0.123752,0.181637
S1P4 pathway,14,0.0288,0.048,0.001996,0.001996,0.297405,0.54491,0.333333,0.327345,0.107784,0.001996,0.015968,0.045908,0.127745
SHP2 signaling,60,0.0087,0.0232,0.001996,0.001996,0.031936,0.001996,0.361277,0.489022,0.001996,0.001996,0.417166,0.221557,0.333333
Signaling events mediated by focal adhesion kinase,63,0.0122,0.0231,0.001996,0.001996,0.005988,0.001996,0.011976,0.355289,0.003992,0.05988,0.145709,0.189621,0.520958
Signaling events mediated by HDAC Class I,89,0.003,0.0105,0.001996,0.003992,0.249501,0.001996,0.007984,0.095808,0.001996,0.001996,0.135729,0.001996,0.061876
Signaling events mediated by HDAC Class II,58,0.0054,0.019,0.001996,0.005988,0.261477,0.001996,0.003992,0.500998,0.001996,0.001996,0.075848,0.021956,0.654691
Signaling events mediated by HDAC Class III,41,0.0105,0.025,0.001996,0.189621,0.091816,0.001996,0.035928,0.02994,0.035928,0.001996,0.057884,0.083832,0.205589
Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met),80,0.0276,0.0376,0.003992,0.003992,0.117764,0.005988,0.025948,0.149701,0.093812,0.025948,0.223553,0.133733,0.265469
Signaling events mediated by PRL,23,0.0385,0.0536,0.001996,0.005988,0.281437,0.003992,0.095808,0.58483,0.680639,0.037924,0.343313,0.067864,0.005988
Signaling events mediated by PTP1B,53,0.0054,0.0149,0.001996,0.001996,0.015968,0.001996,0.001996,0.223553,0.001996,0.001996,0.459082,0.043912,0.191617
Signaling events mediated by Stem cell factor receptor (c-Kit),53,0.0108,0.0221,0.001996,0.003992,0.041916,0.00998,0.125749,0.0499,0.001996,0.001996,0.053892,0.185629,0.159681
Signaling events mediated by TCPTP,40,0.0151,0.025,0.003992,0.01996,0.015968,0.00998,0.093812,0.181637,0.03992,0.001996,0.07984,0.097804,0.443114
Signaling events mediated by the Hedgehog family,24,0.0232,0.0363,0.001996,0.005988,0.011976,0.261477,0.061876,0.878244,0.139721,0.005988,0.001996,0.003992,0.117764
Signaling events mediated by VEGFR1 and VEGFR2,69,0.0178,0.0285,0.003992,0.001996,0.43513,0.003992,0.001996,0.279441,0.409182,0.015968,0.017964,0.103792,0.363273
Signaling events regulated by Ret tyrosine kinase,39,0.0158,0.0272,0.001996,0.001996,0.095808,0.001996,0.01996,0.343313,0.273453,0.001996,0.06986,0.02994,0.42515
Signaling mediated by p38-alpha and p38-beta,35,0.0617,0.0764,0.215569,0.001996,0.065868,0.065868,0.135729,0.908184,0.147705,0.011976,0.067864,0.025948,0.211577
Signaling mediated by p38-gamma and p38-delta,11,0.262,0.2931,0.840319,0.213573,0.373253,0.001996,0.10978,0.10978,0.728543,0.393214,0.560878,0.143713,0.171657
Sphingosine 1-phosphate (S1P) pathway,21,0.0149,0.0266,0.139721,0.001996,0.373253,0.127745,0.117764,0.037924,0.06986,0.001996,0.02994,0.315369,0.001996
Stabilization and expansion of the E-cadherin adherens junction,43,0.0189,0.0322,0.005988,0.013972,0.003992,0.001996,0.06986,0.566866,0.017964,0.0499,0.025948,0.383234,0.197605
Steroids metabolism,16,0.167,0.186,0.217565,0.007984,0.734531,0.361277,0.696607,0.686627,0.183633,0.778443,0.035928,0.163673,0.726547
Sumoylation by RanBP2 regulates transcriptional repression,15,0.0343,0.047,0.101796,0.011976,0.664671,0.011976,0.045908,0.063872,0.105788,0.001996,0.381238,0.043912,0.021956
Synaptic_vesicle_trafficking,21,0.0313,0.0429,0.001996,0.003992,0.085828,0.005988,0.011976,0.868263,0.54491,0.149701,0.027944,0.001996,0.11976
Syndecan-1-mediated signaling events,42,0.0036,0.0131,0.001996,0.021956,0.001996,0.001996,0.133733,0.500998,0.005988,0.023952,0.117764,0.015968,0.001996
Syndecan-2-mediated signaling events,38,0.0053,0.0142,0.001996,0.011976,0.065868,0.001996,0.013972,0.778443,0.001996,0.001996,0.007984,0.02994,0.001996
Syndecan-3-mediated signaling events,23,0.007,0.0167,0.001996,0.135729,0.001996,0.001996,0.05988,0.021956,0.001996,0.001996,0.097804,0.041916,0.001996
Syndecan-4-mediated signaling events,32,0.0067,0.0145,0.001996,0.187625,0.005988,0.001996,0.001996,0.125749,0.023952,0.023952,0.015968,0.011976,0.017964
T cell activation,64,0.0066,0.0196,0.001996,0.025948,0.001996,0.001996,0.349301,0.179641,0.001996,0.001996,0.55489,0.001996,0.429142
TCR signaling in na?ve CD4+ T cells,69,0.0032,0.0111,0.001996,0.023952,0.025948,0.001996,0.277445,0.123752,0.001996,0.001996,0.147705,0.001996,0.125749
TGF-beta receptor signaling,53,0.0093,0.0175,0.003992,0.001996,0.017964,0.003992,0.035928,0.183633,0.037924,0.001996,0.117764,0.093812,0.215569
TGF-beta signaling pathway,91,0.0058,0.014,0.001996,0.001996,0.113772,0.001996,0.021956,0.684631,0.073852,0.001996,0.017964,0.01996,0.123752
TGF-beta signaling(through TAK1),20,0.0835,0.1011,0.05988,0.015968,0.311377,0.001996,0.075848,0.263473,0.257485,0.331337,0.045908,0.10978,0.365269
TGF-beta_BMP Diagram(MolecularVariation),56,0.0064,0.0138,0.001996,0.003992,0.139721,0.003992,0.001996,0.05988,0.001996,0.017964,0.03992,0.025948,0.011976
TGF-beta_super_family_signaling_pathway(canonical),81,0.0087,0.0241,0.001996,0.001996,0.303393,0.015968,0.610778,0.828343,0.001996,0.001996,0.211577,0.061876,0.03992
Thromboxane A2 receptor signaling,56,0.0037,0.0139,0.001996,0.001996,0.005988,0.001996,0.045908,0.173653,0.001996,0.001996,0.153693,0.035928,0.317365
Thyrotropin-releasing hormone receptor signaling pathway,56,0.0027,0.0106,0.001996,0.001996,0.113772,0.003992,0.063872,0.001996,0.001996,0.001996,0.183633,0.001996,0.085828
TNF receptor signaling pathway,46,0.0234,0.0349,0.001996,0.003992,0.057884,0.001996,0.05988,0.135729,0.041916,0.035928,0.023952,0.023952,0.516966
TNFR1 signaling pathway,32,0.0387,0.0517,0.02994,0.041916,0.043912,0.001996,0.387226,0.169661,0.045908,0.221557,0.171657,0.003992,0.121756
Toll-like receptor signaling pathway (p38 cascade),26,0.0654,0.0776,0.037924,0.005988,0.734531,0.065868,0.251497,0.105788,0.021956,0.011976,0.013972,0.121756,0.491018
"Toll-like receptor signaling pathway (through ECSIT, MEKK1, MKKs, JNK cascade)",26,0.0495,0.0665,0.001996,0.055888,0.011976,0.199601,0.54491,0.02994,0.299401,0.013972,0.397206,0.205589,0.459082
"Toll-like receptor signaling pathway (through ECSIT, MEKK1, MKKs, p38 cascade)",26,0.0659,0.0795,0.071856,0.001996,0.772455,0.031936,0.279441,0.075848,0.045908,0.01996,0.025948,0.117764,0.670659
Toll-like receptor signaling pathway (through JNK cascade),25,0.0429,0.0541,0.007984,0.021956,0.279441,0.0998,0.073852,0.027944,0.245509,0.007984,0.033932,0.075848,0.269461
Toll-like receptor signaling pathway (trough NF-kappaB),31,0.0356,0.0525,0.001996,0.061876,0.045908,0.221557,0.141717,0.005988,0.331337,0.003992,0.105788,0.093812,0.99002
Toll receptor signaling pathway,44,0.0216,0.0378,0.001996,0.0998,0.173653,0.293413,0.171657,0.003992,0.001996,0.001996,0.125749,0.043912,0.680639
TRAIL signaling pathway,25,0.0457,0.058,0.151697,0.021956,0.177645,0.003992,0.862275,0.03992,0.001996,0.141717,0.147705,0.00998,0.197605
Transcription regulation by bZIP transcription factor,47,0.0499,0.0697,0.185629,0.001996,0.552894,0.243513,0.027944,0.321357,0.013972,0.001996,0.600798,0.61477,0.377246
Trk receptor signaling mediated by PI3K and PLC-gamma,36,0.0318,0.0454,0.05988,0.005988,0.081836,0.001996,0.293413,0.06986,0.001996,0.003992,0.015968,0.093812,0.185629
Trk receptor signaling mediated by the MAPK pathway,34,0.0403,0.0533,0.129741,0.001996,0.005988,0.067864,0.850299,0.057884,0.42515,0.001996,0.061876,0.011976,0.772455
Tryptophan degradation,64,0.001,0.0096,0.001996,0.001996,0.051896,0.001996,0.001996,0.001996,0.001996,0.003992,0.021956,0.532934,0.001996
Tyrosine metabolism,31,0.007,0.0209,0.001996,0.001996,0.0998,0.001996,0.08982,0.017964,0.011976,0.001996,0.275449,0.61477,0.057884
Ubiquitin proteasome pathway,44,0.027,0.0436,0.033932,0.057884,0.02994,0.698603,0.023952,0.091816,0.001996,0.001996,0.652695,0.175649,0.652695
Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling,42,0.0188,0.0401,0.001996,0.007984,0.00998,0.001996,0.49501,0.570858,0.191617,0.443114,0.055888,0.636727,0.001996
Validated nuclear estrogen receptor alpha network,65,0.0085,0.0199,0.001996,0.001996,0.027944,0.005988,0.065868,0.510978,0.061876,0.001996,0.379242,0.057884,0.183633
Validated nuclear estrogen receptor beta network,15,0.0948,0.11,0.225549,0.359281,0.051896,0.255489,0.48503,0.48503,0.185629,0.041916,0.45509,0.231537,0.01996
Validated targets of C-MYC transcriptional activation,80,0.002,0.0093,0.001996,0.001996,0.003992,0.001996,0.007984,0.081836,0.001996,0.001996,0.407186,0.011976,0.195609
Validated targets of C-MYC transcriptional repression,63,0.0023,0.0075,0.001996,0.001996,0.003992,0.001996,0.001996,0.043912,0.001996,0.001996,0.025948,0.00998,0.00998
Validated transcriptional targets of AP1 family members Fra1 and Fra2,37,0.0288,0.0467,0.003992,0.001996,0.013972,0.001996,0.872255,0.646707,0.003992,0.003992,0.363273,0.011976,0.185629
Validated transcriptional targets of deltaNp63 isoforms,47,0.0062,0.0161,0.001996,0.001996,0.001996,0.001996,0.351297,0.369261,0.025948,0.001996,0.087824,0.265469,0.001996
Validated transcriptional targets of TAp63 isoforms,54,0.0052,0.0159,0.001996,0.08982,0.005988,0.001996,0.02994,0.169661,0.005988,0.001996,0.041916,0.199601,0.001996
"Valine,Leucine and Isoleucine degradation",30,1.00E-04,0.0038,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,0.027944,0.700599,0.001996
Vasopressin synthesis,11,0.0886,0.1053,0.045908,0.255489,0.213573,0.005988,0.183633,0.171657,0.055888,0.013972,0.205589,0.157685,0.005988
VEGFR1 specific signals,29,0.0155,0.024,0.007984,0.001996,0.135729,0.001996,0.131737,0.017964,0.007984,0.00998,0.007984,0.023952,0.11976
VEGFR3 signaling in lymphatic endothelium,26,0.0461,0.0638,0.001996,0.151697,0.001996,0.329341,0.40519,0.608782,0.013972,0.001996,0.021956,0.117764,0.349301
Visual signal transduction; Cones,24,0.096,0.1264,0.025948,0.642715,0.299401,0.001996,0.279441,0.355289,0.021956,0.59481,0.001996,0.047904,0.181637
Visual signal transduction; Rods,24,0.053,0.0695,0.001996,0.051896,0.151697,0.03992,0.001996,0.017964,0.59481,0.253493,0.103792,0.011976,0.093812
Wnt signaling network,29,0.0195,0.041,0.001996,0.061876,0.46507,0.001996,0.061876,0.806387,0.017964,0.407186,0.001996,0.02994,0.005988
Xenopus axis formation Wnt signaling pathway Diagram,91,0.0043,0.0118,0.001996,0.001996,0.07984,0.001996,0.083832,0.0998,0.001996,0.043912,0.047904,0.041916,0.003992
